family,domain,status,registered_correct,drug_outcome,gen_or,gen_ci,gen_leg_verdict,gen_leg_source,outcome_program,trial_phase,efficacy_endpoint,regulatory_outcome,classifier_versions_with_changes,n_flags,flags
TNF-a-RA,autoimmune,pre-registered,False,Approved,1.0,,MR-instrumented,PMID 40618325,"anti-TNF class in RA: etanercept (Enbrel; TNFR2:Fc), first approved for RA; infliximab (Remicade; anti-TNF mAb) RA supplement one year later",III,met,approved,2,0,
IL-17-psoriasis,autoimmune,pre-registered,False,Approved,0.998,,MR-instrumented,PMID 33188428,"secukinumab (Cosentyx; anti-IL-17A), first-approved IL-17A antagonist",III,met,approved,3,1,gen_OR changed across committed classifier versions
JAK-STAT-RA,autoimmune,pre-registered,True,Approved,1.27,(1.2-1.34),association,PMID 19479340,"tofacitinib (Xeljanz; JAK1/JAK3 inhibitor), first-approved JAK inhibitor for RA",III,met,approved,2,1,"genetic leg is a variant-disease association, not MR"
CD20-RA,autoimmune,pre-registered,True,Approved,1.291,(1.19-1.391),MR-instrumented,"SSRN 4709115 (preprint, 2024)","rituximab (Rituxan/MabThera; anti-CD20), first-approved B-cell-depleting agent for RA",III,met,approved,1,0,
IL-4Ra-AD,autoimmune,construct-limited,,Construct-limited,1.02,,,,"dupilumab (Dupixent; anti-IL-4R alpha), first-approved IL-4R alpha antagonist",III,met,approved,1,0,
IL-1b-CVD,autoimmune,pre-registered,True,Failed,1.0,,MR-instrumented,PMID 32223966,"canakinumab (Ilaris; anti-IL-1 beta), CANTOS",III,met,not approved,1,1,primary endpoint met but registered outcome is failure (regulatory reading)
VitD-Cancer,oncology,extension,True,Failed,0.97,(0.88-1.07),MR-instrumented,PMID 36678292,"vitamin D3 2000 IU/day (VITAL; academic prevention trial, sponsor Brigham and Women's Hospital)",III,not met,not submitted,1,0,
IGF1-CRC,oncology,extension,False,Failed,1.22,(1.09-1.36),MR-instrumented,PMID 32717139,"figitumumab (Pfizer; Phase III NSCLC) and ganitumab (COG AEWS1221 Ewing sarcoma; QUILT-2.014 pancreatic), as the manuscript names",III,not met,not submitted,1,0,
Estrogen-BC,oncology,extension,False,Approved,1.03,(1.01-1.06),MR-instrumented,PMID 36209141,"tamoxifen (NSABP P-1 Breast Cancer Prevention Trial; Nolvadex NDA 017970), as the manuscript names; aromatase inhibitors not coded",III,met,approved,1,0,
Eos/IL5-Asthma,respiratory,extension,True,Approved,1.5,(1.23-1.83),MR-instrumented,PMID 35537820,"mepolizumab (Nucala BLA 125526; MENSA pivotal Phase III; DREAM Phase IIb dose-ranging); benralizumab named in manuscript, not coded",III,met,approved,1,0,
IL4Ra-Asthma,respiratory,construct-limited,,Construct-limited,0.87,(0.82-0.93),,,dupilumab (Dupixent BLA 761055; LIBERTY ASTHMA QUEST),III,met,approved,3,2,gen_OR changed across committed classifier versions | drug_outcome changed across committed classifier versions
TSLP-Asthma,respiratory,construct-limited,,Construct-limited,1.02,,,,tezepelumab (Tezspire BLA 761224; NAVIGATOR),III,met,approved,1,0,
SGLT2-HF,metabolic,extension,True,Approved,0.44,(0.26-0.76),MR-instrumented,PMID 38725835,"dapagliflozin (Farxiga NDA 202293; DAPA-HF) and empagliflozin (Jardiance NDA 204629; EMPEROR-Reduced), as the manuscript names",III,met,approved,1,0,
GLP1R-T2D/Obesity,metabolic,construct-limited,,Construct-limited,1.0,,,,"semaglutide (Ozempic NDA 209637 for type 2 diabetes; Wegovy NDA 215256 for obesity; STEP 1 and SUSTAIN-6), coded as the manuscript's first-named agent; liraglutide not coded",III,met,approved,1,0,
Urate-Gout,metabolic,extension,True,Approved,5.0,(3.5-8.0),MR-instrumented,PMID 30645594,"febuxostat (Uloric NDA 021856; FACT, CONFIRMS, CARES) coded as the program with a modern trial record; allopurinol (Zyloprim NDA 016084, approved 1966) is the manuscript's first-named agent and predates the registered-trial era",III,met,approved,1,0,
IL6-MDD,psychiatry,extension,True,Failed,1.01,(0.99-1.04),MR-instrumented,"PMID:36057695 (Galan 2022, Sci Rep)",sirukumab 50 mg SC adjunctive to a monoaminergic antidepressant (Janssen; NCT02473289),II,not met,not submitted,1,1,scored on a Phase II readout
IL23-Crohns,gastroenterology,construct-limited,,Construct-limited,1.0,,,,"risankizumab (Skyrizi BLA 761105; ADVANCE and MOTIVATE induction, FORTIFY maintenance); guselkumab named in the blind declaration, not coded",III,met,approved,1,0,
Complement-GA,ophthalmology,extension,False,Failed,2.5,(2.2-2.85),association,PMID 16905558,"lampalizumab, anti-complement factor D Fab (Roche; CHROMA and SPECTRI), the registered program; later same-indication approvals pegcetacoplan (anti-C3, Syfovre NDA 217171) and avacincaptad pegol (anti-C5, Izervay NDA 217225) recorded in notes",III,not met,not submitted,1,1,"genetic leg is a variant-disease association, not MR"
Sclerostin-Fracture,musculoskeletal,extension,True,Approved,0.59,(0.54-0.66),MR-instrumented,PMID 32581134,romosozumab (Evenity BLA 761062; FRAME and ARCH),III,met,approved,1,0,
Serotonin-MDD,psychiatry,extension,False,Approved,1.08,(1.03-1.12),association,PMID 20380781,"fluoxetine (Prozac NDA 018936) coded as the first SSRI approved for MDD; the manuscript names fluoxetine, sertraline and escitalopram (class)",III,met,approved,1,1,"genetic leg is a variant-disease association, not MR"
